x1,x2,label
2.6259766574841987,2.351578828652248,1
3.3399624882469396,1.979178739261605,0
2.989588038628755,2.9234050668278493,1
0.8733554696316423,2.9232536872454222,0
2.5709512548132385,2.9692568849544334,1
3.8063676807965874,3.156923744337793,1
3.417733192936023,3.539643277425538,1
1.9525091832901142,1.5843041947965064,0
3.754844164005873,2.316665845054241,1
2.9748381899242515,3.644725667604329,1
2.431664666377058,2.503807548984381,1
1.915250025470397,3.596381386123016,1
2.4428240921897166,2.9787165078323032,1
2.3627412246670074,3.999828240941436,1
3.6842975628562176,2.8513626340691625,1
3.207650081133389,2.6962139224267596,1
2.9264819443835255,2.5153541426694277,1
4.400544057059952,3.129919173405193,1
3.2555395005206726,3.077520137417944,1
2.889720341087816,3.7288426370424923,1
2.670301600581965,3.222652170350917,1
1.2843412325469163,1.8770740936474477,0
2.6117589135875514,3.287223632890296,1
3.9081874607986133,3.0846339399419964,1
3.377328198876555,2.7446447242395458,1
1.4921188298730317,3.5124845804929947,0
3.6019257358908425,2.5330934347838197,1
2.9579597849683985,3.1789362730357547,1
2.778873132551492,2.884956258928969,1
3.2531088125586294,2.208151596252648,0
2.453688387644327,3.039281694453805,1
4.052601794546938,3.1287383907174444,1
2.7904151246708073,2.7355569224109195,1
2.0994843598325366,3.7114466606830483,1
3.2997708263191945,2.30907345283474,1
2.7780767239967568,3.4105480897080604,1
2.581592516525719,2.2420193021003256,1
3.0293667780676246,1.7841588669008592,1
2.4751357217356453,2.665752371629484,1
2.8604662657107767,3.801090201975541,1
2.7745755541314305,3.020786325460675,1
2.9001836331810136,3.811867866304191,1
2.6818768350612396,4.113428642579013,1
3.8155205825354988,1.9787460200334082,1
2.6908346056923023,3.114398604338787,0
2.9206188297262203,2.7724650088778278,1
3.8657700060580726,2.253602919466854,1
3.2562984119783334,4.553141751384588,1
1.1112444791143943,1.9898328093633846,0
3.4918079520457335,3.3189802345761,1
2.8873237762822326,3.189279690132051,1
2.7144295016121958,3.606545243795824,1
2.877927837587625,2.3954714831530173,1
1.0011268823169834,1.5798925773860293,0
2.2184271409501273,2.657946210179998,1
3.084496291632958,2.8740008393869436,1
2.1718006621299333,4.261066009925859,1
2.4474361700194733,2.4661445546738068,0
2.675710825205572,3.327706455821034,1
3.559536303790185,3.1272259912618057,1
2.6336595853253786,3.3148165574839705,1
2.9194698034314177,3.499556167814598,1
2.4394328430057532,3.5471174478017966,1
2.633690159617714,1.977668755487986,1
2.5837203919099117,3.2515186545841,1
3.474356167738246,3.678908384241524,1
2.912879888062764,3.578280779929251,1
3.537000563274003,2.894277980292462,1
2.7792332588692594,4.2668930426239475,1
3.3917358088664695,3.3035038751371655,1
3.480491310451808,2.8661500399292037,1
2.0221929606616524,3.6809180252086597,1
2.812116895682021,2.6358062786542673,1
2.485879111007983,3.4891883358438527,1
2.1053226847090483,2.2307355119628545,1
1.3352499835374683,3.6471768787517447,1
3.427133556311192,3.7182926941692322,1
3.5157875710576825,2.827502034235675,1
2.8557378990557982,2.9776750405105354,1
2.5916075607874847,2.6252979657344975,1
3.983527400876389,2.2559132184540407,1
3.254320555974998,2.7676011819900035,1
3.1166624266798184,3.0169447490871706,1
4.23820239846491,3.0075741008487,1
2.900510389128697,4.587212067236377,1
1.0296507314240053,2.532784048366043,1
2.927696013590669,2.6527045304869192,1
3.225488871246841,2.8644095006994457,1
3.428969967742462,2.5179284395108743,1
3.375715564368847,3.28045923496156,1
2.7950309784607748,2.441459711683902,1
3.0270468948503186,2.5417518642921935,1
3.5702068248271974,3.337800780821569,1
2.7321259639844935,2.97012678941307,1
3.4102459903314584,3.495746877561359,1
3.3377775079203453,3.6580588346126186,1
2.9725978217649183,3.0304719898962214,1
3.7250268438911753,3.415952222587404,1
3.9701872833058767,1.9613678231324723,1
2.2330705805939757,2.4043383323074563,1
1.914269262705791,2.846689354637372,1
2.1271836773376176,2.9132792041311575,1
2.8503180740611938,2.569597263037731,1
2.474588449845411,2.677134408482896,1
2.001973305760466,1.936441734765546,0
3.6860567325807523,2.694556440924465,1
2.327227439461291,3.883706837832149,1
4.065793277489049,2.6561200869751223,1
2.3822559034588977,2.198231814467076,1
3.0392457355680986,3.771867442975229,1
3.166416070459591,2.2833324213500794,1
