,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension,label
0,10.2,17.48,65.05,321.2,0.08054,0.05907,0.05774,0.010709999999999999,0.1964,0.06315,0.3567000000000001,1.922,2.747,22.79,0.00468,0.0312,0.05774,0.010709999999999999,0.025600000000000005,0.004613,11.48,24.47,75.4,403.7,0.09527000000000001,0.1397,0.1925,0.035710000000000006,0.2868,0.07808999999999999,1
1,13.14,20.74,85.98,536.9,0.08675,0.10889999999999998,0.1085,0.0351,0.1562,0.0602,0.3152,0.7884,2.312,27.4,0.007295,0.03179,0.04615,0.01254,0.015609999999999999,0.00323,14.799999999999999,25.46,100.9,689.1,0.1351,0.3549,0.4504,0.1181,0.2563,0.08174,1
2,15.73,11.28,102.8,747.2,0.1043,0.1299,0.1191,0.062110000000000005,0.1784,0.06258999999999999,0.16300000000000003,0.38709999999999994,1.143,13.87,0.006034,0.0182,0.03336,0.01067,0.01175,0.0022559999999999998,17.01,14.2,112.50000000000001,854.3000000000001,0.1541,0.2979,0.4004,0.1452,0.2557,0.08181000000000001,1
3,9.333,21.94,59.01,264.0,0.0924,0.05605000000000001,0.03996,0.012819999999999998,0.16920000000000002,0.06576,0.3013,1.879,2.1209999999999996,17.86,0.01094,0.018340000000000002,0.03996,0.012819999999999998,0.03759,0.0046229999999999995,9.845,25.05,62.86,295.8,0.1103,0.08298000000000001,0.07993000000000001,0.025639999999999996,0.2435,0.07393,1
4,11.06,14.96,71.49,373.9,0.1033,0.09097000000000001,0.05397,0.03341,0.17760000000000004,0.06907,0.16009999999999996,0.8225,1.355,10.8,0.007416,0.01877,0.027579999999999997,0.0101,0.023480000000000004,0.0029170000000000003,11.92,19.9,79.76,440.0,0.14180000000000004,0.221,0.2299,0.1075,0.3301,0.0908,1
5,10.66,15.15,67.49,349.6,0.08792,0.043019999999999996,0.0,0.0,0.19280000000000003,0.05975,0.33089999999999997,1.925,2.155,21.98,0.008713,0.01017,0.0,0.0,0.03265,0.0010019999999999999,11.54,19.2,73.2,408.3,0.1076,0.06791,0.0,0.0,0.271,0.06164,1
6,10.939999999999998,18.59,70.39,370.0,0.1004,0.0746,0.04944,0.029320000000000002,0.1486,0.06615,0.3796,1.743,3.0180000000000002,25.78,0.009519,0.02134,0.0199,0.01155,0.02079,0.0027010000000000003,12.4,25.58,82.76,472.4,0.1363,0.1644,0.1412,0.07887000000000001,0.2251,0.07732,1
7,11.5,18.45,73.28,407.4,0.09345,0.05991000000000001,0.02638,0.02069,0.1834,0.05934,0.39270000000000005,0.8429,2.6839999999999997,26.99,0.006379999999999999,0.01065,0.01245,0.009175,0.02292,0.0014609999999999998,12.970000000000002,22.46,83.12,508.8999999999999,0.1183,0.1049,0.08105,0.06544,0.27399999999999997,0.06487000000000001,1
8,11.43,15.389999999999999,73.06,399.8,0.09639,0.06888999999999999,0.03503,0.02875,0.1734,0.058649999999999994,0.1759,0.9938000000000001,1.143,12.67,0.0051329999999999995,0.015209999999999998,0.01434,0.008602,0.015009999999999999,0.001588,12.32,22.02,79.93,462.0,0.11900000000000001,0.1648,0.1399,0.08475999999999999,0.2676,0.06765,1
9,9.787,19.94,62.11,294.5,0.1024,0.05301,0.006829000000000001,0.007937,0.135,0.0689,0.335,2.043,2.1319999999999997,20.05,0.011130000000000001,0.014629999999999999,0.005308,0.00525,0.018009999999999998,0.005667,10.92,26.29,68.81,366.1,0.1316,0.09473,0.02049,0.023809999999999998,0.1934,0.08988,1
10,12.04,28.140000000000004,76.85,449.9,0.08752,0.06,0.02367,0.023770000000000003,0.18539999999999998,0.056979999999999996,0.6061,2.6430000000000002,4.099,44.96,0.007517,0.015549999999999998,0.01465,0.01183,0.02047,0.0038829999999999997,13.6,33.33,87.24000000000001,567.6,0.1041,0.09726,0.05524,0.055470000000000005,0.2404,0.06639,1
11,14.26,18.17,91.22,633.1,0.06576,0.05220000000000001,0.02475,0.013739999999999999,0.1635,0.05586,0.23,0.669,1.661,20.560000000000002,0.003169,0.01377,0.010790000000000001,0.005243,0.01103,0.001957,16.22,25.26,105.8,819.6999999999999,0.09445,0.2167,0.1565,0.0753,0.2636,0.07676000000000001,1
12,11.34,21.26,72.48,396.5,0.08759,0.06575,0.051329999999999994,0.01899,0.1487,0.06529,0.2344,0.9861,1.597,16.41,0.009113,0.015569999999999999,0.02443,0.006435,0.01568,0.002477,13.01,29.15,83.99,518.1,0.1699,0.21960000000000002,0.312,0.08277999999999999,0.2829,0.08832000000000001,1
13,12.87,19.54,82.67,509.2,0.09136,0.07883,0.01797,0.0209,0.18610000000000002,0.06347,0.3665,0.7693,2.597,26.5,0.00591,0.013619999999999998,0.007066,0.006502,0.02223,0.002378,14.45,24.38,95.14,626.9,0.1214,0.1652,0.07127,0.06384,0.3313,0.07735,1
14,13.21,28.06,84.88,538.4,0.08671,0.06877,0.029869999999999997,0.03275,0.1628,0.05781,0.2351,1.597,1.5390000000000001,17.850000000000005,0.004973,0.01372,0.014980000000000002,0.009117,0.017240000000000002,0.001343,14.369999999999997,37.17,92.48,629.6,0.1072,0.1381,0.1062,0.07958,0.2473,0.06443,1
15,9.436,18.32,59.82,278.6,0.1009,0.05956,0.0271,0.01406,0.1506,0.06959,0.5078999999999999,1.247,3.267,30.48,0.006836,0.008981999999999999,0.02348,0.0065650000000000005,0.01942,0.0027129999999999997,12.02,25.02,75.79,439.6,0.1333,0.1049,0.1144,0.050519999999999995,0.24540000000000003,0.08136,1
16,6.981,13.430000000000001,43.79,143.5,0.11699999999999999,0.07568,0.0,0.0,0.193,0.07818,0.2241,1.508,1.5530000000000002,9.833,0.010190000000000001,0.01084,0.0,0.0,0.02659,0.0041,7.929999999999999,19.54,50.41,185.2,0.1584,0.12020000000000002,0.0,0.0,0.2932,0.09381999999999999,1
17,12.720000000000002,13.78,81.78,492.1,0.09667,0.08392999999999999,0.01288,0.01924,0.1638,0.061,0.1807,0.6931,1.34,13.38,0.006064,0.0118,0.006564000000000001,0.007978,0.01374,0.001392,13.500000000000002,17.48,88.54,553.7,0.1298,0.1472,0.052329999999999995,0.06343,0.2369,0.06922,1
18,11.54,14.44,74.65,402.9,0.09984,0.11199999999999999,0.06737,0.02594,0.1818,0.06782,0.2784,1.7679999999999998,1.6280000000000001,20.86,0.01215,0.04112,0.055529999999999996,0.014940000000000002,0.0184,0.0055119999999999995,12.26,19.68,78.78,457.80000000000007,0.1345,0.2118,0.1797,0.06918,0.2329,0.08134,1
19,12.25,22.44,78.18,466.5,0.08192,0.052,0.01714,0.01261,0.1544,0.05976,0.2239,1.139,1.577,18.04,0.005096,0.01205,0.00941,0.0045509999999999995,0.01608,0.0023989999999999997,14.17,31.99,92.74,622.9,0.1256,0.18040000000000003,0.12300000000000001,0.06335,0.31,0.08202999999999999,1
20,10.599999999999998,18.95,69.28,346.4,0.09688,0.11469999999999998,0.06387000000000001,0.02642,0.1922,0.06491,0.4505,1.1969999999999998,3.43,27.1,0.00747,0.03581,0.03354,0.01365,0.035039999999999995,0.0033179999999999998,11.88,22.94,78.28,424.8,0.1213,0.2515,0.1916,0.07926,0.294,0.07587,1
